name,pricing/rate/amount,address,location/lat,location/lng,url
The Lucky Penny,1143,"San Juan, Puerto Rico",18.452,-66.044,https://www.airbnb.com/rooms/31317669
Villa Ocean Dreams @ Cottages Dorado beach,1925,"Dorado, Puerto Rico",18.47347,-66.31109,https://www.airbnb.com/rooms/48156204
VILLA TUSCANY MANSION/Month rental/rate only month,1675,"Río Grande, Puerto Rico",18.38617,-65.76552,https://www.airbnb.com/rooms/47775673
N1 Beach Apartment - 1 Bedroom,3007,"San Juan, Puerto Rico",18.45331,-66.056,https://www.airbnb.com/rooms/38749029
"Casa Dos Ceibas: Infinity Pool, Ocean Views",1450,"Rincon, PR, Puerto Rico",18.361,-67.249,https://www.airbnb.com/rooms/51213807
Cap de Mar | Beachfront with Private Pool,1392,"Sabana, Vega Alta, Puerto Rico",18.478,-66.326,https://www.airbnb.com/rooms/49992191
Boutique Hotel / Full Property Breakfast Included,2000,"Rincon, Rincón, Puerto Rico",18.33,-67.252,https://www.airbnb.com/rooms/47576850
VENTANA AL ATLANTICO 5 ROOM VILLA TAKEOVER,1697,"Islote, Arecibo, Puerto Rico",18.48622,-66.66495,https://www.airbnb.com/rooms/46233476
"5BR spacious home in Dorado Beach, Ritz property",3000,"Dorado, Puerto Rico",18.46788,-66.28492,https://www.airbnb.com/rooms/50364868
Luxury Waterfront Villa in Rincon,2340,"Rincon, Rincón, Puerto Rico",18.355,-67.268,https://www.airbnb.com/rooms/54370697
Waterfront Cabins sleeps 20 w/kayaks & Boat Dock,2200,"Puerto Real, Cabo Rojo, Puerto Rico",18.07754,-67.19104,https://www.airbnb.com/rooms/48830958
Las Vistas | Oceanfront Luxury 3 Bedrooms Villa,2083,"Río Grande, Puerto Rico",18.41025,-65.81611,https://www.airbnb.com/rooms/54131639
#4 Asia Italy Sea View Apartment,2909,"Mayagüez, Puerto Rico",18.17527,-67.17262,https://www.airbnb.com/rooms/33618102
VILLA CAPRI / 7 bedroom inside Wyndham Resort,2893,"Río Grande, Puerto Rico",18.38794,-65.75618,https://www.airbnb.com/rooms/16373277
Family-Friendly Dorado Beach Ritz Carlton Condo!,1800,"Dorado, Puerto Rico",18.46475,-66.29968,https://www.airbnb.com/rooms/40108922
Maria's Luxury Villa,2350,"Rincon, Rincón, Puerto Rico",18.358,-67.269,https://www.airbnb.com/rooms/3292409
Adults only! Ocaso Luxury Villas: Entire Property,1750,"Atalaya, Rincón, Puerto Rico",18.30818,-67.19011,https://www.airbnb.com/rooms/32669565
Stunning Eco-Luxury Villa on Caribbean Sea,1699,"Vieques, Puerto Rico",18.09751,-65.47947,https://www.airbnb.com/rooms/20402932
"Stunning Ocean Views, WIFI, Private Pool, Villa",1812,"Cabezas, Fajardo, Puerto Rico",18.362,-65.631,https://www.airbnb.com/rooms/53735143
"Ritz-Carlton Reserve Residence, Beach Club Access",2593,"Dorado, Puerto Rico",18.476,-66.308,https://www.airbnb.com/rooms/51089622
"Hacienda Azucena, Río Grande, Yunque Rain Forest",900,"Rio Grande, Puerto Rico",18.33497,-65.83872,https://www.airbnb.com/rooms/328810
★ Beachfront ★ with Infinity Pool & Gated Parking.,495,"Rincon, Puerto Rico",18.378,-67.23,https://www.airbnb.com/rooms/12039333
La Casa Alejandrina: Heated Pool + SeaView + Wi-Fi,448,"Juana Diaz, Puerto Rico",18.05616,-66.47782,https://www.airbnb.com/rooms/41830150
Luxury waterfront villa with dock and heated pool,642,"Carolina, Puerto Rico",18.435,-65.982,https://www.airbnb.com/rooms/54335695
Steps to the Beach★6BR/5Bath★Pool★BBQ★Parking★Gen,1114,"San Juan, Puerto Rico",18.453,-66.057,https://www.airbnb.com/rooms/32462143
